ts,open,high,low,close,volume,sma_50
2025-05-22 00:00:00+00:00,5858.0,5895.0,5828.75,5856.75,1419522.0,
2025-05-23 00:00:00+00:00,5869.25,5872.0,5756.5,5817.0,1537693.0,
2025-05-27 00:00:00+00:00,5820.0,5941.75,5813.0,5934.25,1288369.0,
2025-05-28 00:00:00+00:00,5940.75,5952.5,5890.0,5902.75,1181330.0,
2025-05-29 00:00:00+00:00,5923.5,6008.0,5884.0,5922.75,1414864.0,
2025-05-30 00:00:00+00:00,5912.25,5932.75,5853.25,5916.0,1633334.0,
2025-06-02 00:00:00+00:00,5898.75,5955.5,5867.5,5947.25,1194125.0,
2025-06-03 00:00:00+00:00,5949.0,5991.25,5909.25,5981.5,1154297.0,
2025-06-04 00:00:00+00:00,5980.0,5999.0,5974.0,5981.0,1097088.0,
2025-06-05 00:00:00+00:00,5974.25,6016.5,5928.75,5946.0,0.0,
2025-06-06 00:00:00+00:00,5931.75,6025.0,5930.0,6006.75,1278102.0,
2025-06-09 00:00:00+00:00,6010.0,6027.75,5992.25,6010.25,912371.0,
2025-06-10 00:00:00+00:00,6012.25,6049.5,5991.25,6045.0,1104373.0,
2025-06-11 00:00:00+00:00,6038.75,6074.75,6006.25,6029.0,1610313.0,
2025-06-12 00:00:00+00:00,6022.25,6051.25,5987.75,6049.5,1330953.0,
2025-06-13 00:00:00+00:00,6045.0,6045.0,5927.5,5979.25,2162167.0,
2025-06-16 00:00:00+00:00,5949.0,6055.25,5944.0,6035.75,1744867.0,
2025-06-17 00:00:00+00:00,6038.5,6040.5,5976.75,5985.0,870571.0,
2025-06-18 00:00:00+00:00,5977.25,6020.75,5964.75,5981.5,0.0,
2025-06-20 00:00:00+00:00,5984.0,6019.25,5918.25,6010.2099609375,1694443.0,
2025-06-23 00:00:00+00:00,5964.0,6081.5,5959.0,6077.0,1358034.0,
2025-06-24 00:00:00+00:00,6078.0,6155.25,6075.25,6146.25,1077333.0,
2025-06-25 00:00:00+00:00,6144.75,6160.25,6130.75,6147.0,902500.0,
2025-06-26 00:00:00+00:00,6144.75,6200.0,6141.25,6195.0,1039428.0,
2025-06-27 00:00:00+00:00,6197.5,6239.0,6183.25,6223.75,1353399.0,
2025-06-30 00:00:00+00:00,6223.25,6265.5,6223.25,6253.75,1364101.0,
2025-07-01 00:00:00+00:00,6245.75,6261.5,6227.25,6248.75,1320618.0,
2025-07-02 00:00:00+00:00,6247.75,6279.5,6235.5,6275.0,1044261.0,
2025-07-03 00:00:00+00:00,6276.5,6333.25,6270.5,6324.25,0.0,
2025-07-04 00:00:00+00:00,6320.75,6322.75,6276.5,6283.5,0.0,
2025-07-07 00:00:00+00:00,6307.75,6315.0,6246.25,6276.0,1376613.0,
2025-07-08 00:00:00+00:00,6262.5,6289.0,6254.5,6272.0,1073914.0,
2025-07-09 00:00:00+00:00,6272.0,6315.25,6260.0,6307.25,1144723.0,
2025-07-10 00:00:00+00:00,6306.0,6335.5,6287.5,6324.25,948393.0,
2025-07-11 00:00:00+00:00,6323.0,6330.25,6276.75,6300.0,1100047.0,
