ts,close,fast_ma,slow_ma,position,equity,bench,drawdown
2000-09-18 00:00:00+00:00,1467.5,,,0.0,100000.0,100000.0,0.0
2000-09-19 00:00:00+00:00,1478.5,,,0.0,100000.0,100749.5741056218,0.0
2000-09-20 00:00:00+00:00,1469.5,,,0.0,100000.0,100136.28620102213,0.0
2000-09-21 00:00:00+00:00,1469.5,,,0.0,100000.0,100136.28620102213,0.0
2000-09-22 00:00:00+00:00,1468.5,,,0.0,100000.0,100068.14310051106,0.0
2000-09-25 00:00:00+00:00,1461.0,,,0.0,100000.0,99557.06984667802,0.0
2000-09-26 00:00:00+00:00,1443.0,,,0.0,100000.0,98330.4940374787,0.0
2000-09-27 00:00:00+00:00,1446.75,,,0.0,100000.0,98586.03066439522,0.0
2000-09-28 00:00:00+00:00,1476.0,,,0.0,100000.0,100579.21635434413,0.0
2000-09-29 00:00:00+00:00,1454.0,,,0.0,100000.0,99080.0681431005,0.0
2000-10-02 00:00:00+00:00,1456.25,,,0.0,100000.0,99233.39011925043,0.0
2000-10-03 00:00:00+00:00,1441.5,,,0.0,100000.0,98228.2793867121,0.0
2000-10-04 00:00:00+00:00,1450.25,,,0.0,100000.0,98824.53151618398,0.0
2000-10-05 00:00:00+00:00,1456.0,,,0.0,100000.0,99216.35434412265,0.0
2000-10-06 00:00:00+00:00,1426.25,,,0.0,100000.0,97189.09710391822,0.0
2000-10-09 00:00:00+00:00,1416.5,,,0.0,100000.0,96524.70187393526,0.0
2000-10-10 00:00:00+00:00,1391.0,,,0.0,100000.0,94787.0528109029,0.0
2000-10-11 00:00:00+00:00,1378.5,,,0.0,100000.0,93935.26405451448,0.0
2000-10-12 00:00:00+00:00,1344.0,,,0.0,100000.0,91584.32708688246,0.0
2000-10-13 00:00:00+00:00,1386.25,,,0.0,100000.0,94463.3730834753,0.0
2000-10-16 00:00:00+00:00,1392.0,,,0.0,100000.0,94855.19591141396,0.0
2000-10-17 00:00:00+00:00,1359.75,,,0.0,100000.0,92657.58091993183,0.0
2000-10-18 00:00:00+00:00,1353.75,,,0.0,100000.0,92248.7223168654,0.0
2000-10-19 00:00:00+00:00,1401.75,,,0.0,100000.0,95519.59114139692,0.0
2000-10-20 00:00:00+00:00,1411.0,,,0.0,100000.0,96149.91482112433,0.0
2000-10-23 00:00:00+00:00,1417.0,,,0.0,100000.0,96558.77342419077,0.0
2000-10-24 00:00:00+00:00,1404.25,,,0.0,100000.0,95689.9488926746,0.0
