timestamp,close,open,high,low,volume,sma_20,sma_50,sma_200,ema_20,ema_50,bb_middle,bb_upper,bb_lower,volume_ma,atr_10
2016-02-05,1880.05,1880.05,1889.4502499999996,1870.64975,0,,,,1880.05,1880.05,,,,,
2016-02-08,1853.44,1853.44,1862.7071999999998,1844.1728,0,,,,1877.5157142857142,1879.0064705882353,,,,,
2016-02-09,1852.21,1852.21,1861.4710499999999,1842.94895,0,,,,1875.1056462585032,1877.955628604383,,,,,
2016-02-10,1851.86,1851.86,1861.1192999999996,1842.6007,0,,,,1872.8917751862648,1876.9322706198973,,,,,
2016-02-11,1829.08,1829.08,1838.2253999999998,1819.9345999999998,0,,,,1868.7192251685253,1875.0557109877445,,,,,
2016-02-12,1864.78,1864.78,1874.1038999999998,1855.4560999999999,0,,,,1868.344060866761,1874.6527419294016,,,,,
2016-02-16,1895.58,1895.58,1905.0578999999998,1886.1020999999998,0,,,,1870.9379598318314,1875.4734187164838,,,,,
2016-02-17,1926.82,1926.82,1936.4540999999997,1917.1859,0,,,,1876.2600588954665,1877.4870101393667,,,,,
2016-02-18,1917.83,1917.83,1927.4191499999997,1908.24085,0,,,,1880.219100905422,1879.069088173117,,,,,
2016-02-19,1917.78,1917.78,1927.3688999999997,1908.1911,0,,,,1883.79632939062,1880.5871631467203,,,,,28.817579999999815
2016-02-22,1945.5,1945.5,1955.2274999999997,1935.7725,0,,,,1889.6728694486562,1883.1327645919469,,,,,30.68227999999983
2016-02-23,1921.27,1921.27,1930.8763499999998,1911.66365,0,,,,1892.6821199773556,1884.6283424510862,,,,,30.478194999999847
2016-02-24,1929.8,1929.8,1939.4489999999998,1920.1509999999998,0,,,,1896.2171561699884,1886.399780002024,,,,,30.555784999999855
2016-02-25,1951.7,1951.7,1961.4584999999997,1941.9415000000001,0,,,,1901.5012365347513,1888.9605729431212,,,,,31.86977499999987
2016-02-26,1948.05,1948.05,1957.7902499999998,1938.30975,0,,,,1905.9344521028704,1891.2778053767245,,,,,30.62528499999985
2016-02-29,1932.23,1932.23,1941.89115,1922.56885,0,,,,1908.438789997835,1892.8837737933236,,,,,28.671009999999843
2016-03-01,1978.35,1978.35,1988.2417499999997,1968.45825,0,,,,1915.0970004742317,1896.235390507311,,,,,30.244394999999827
2016-03-02,1986.45,1986.45,1996.3822499999999,1976.51775,0,,,,1921.8925242385906,1899.7732183305538,,,,,28.14343499999984
2016-03-03,1993.4,1993.4,2003.367,1983.433,0,,,,1928.7027600253914,1903.444856827395,,,,,28.219004999999857
2016-03-04,1999.99,1999.99,2009.98995,1989.99005,0,1918.8084999999999,,,1935.4920209753543,1907.2309408733795,1918.8084999999999,2020.8920784051477,1816.724921594852,0.0,28.301214999999864
2016-03-07,2001.76,2001.76,2011.7687999999998,1991.7512,0,1924.8939999999998,,,1941.8032570729397,1910.9379627999137,1924.8939999999998,2031.6530346035108,1818.1349653964887,0.0,26.55822499999988
2016-03-08,1979.26,1979.26,1989.1562999999999,1969.3636999999999,0,1931.185,,,1945.370565923136,1913.6172583763876,1931.185,2035.0032001080936,1827.3667998919063,0.0,26.414219999999887
2016-03-09,1989.26,1989.26,1999.2062999999998,1979.3137,0,1938.0375,,,1949.5505120256944,1916.583640400843,1938.0375,2037.924866647587,1838.150133352413,0.0,26.47904999999987
2016-03-10,1989.57,1989.57,1999.5178499999997,1979.62215,0,1944.923,,,1953.361891832771,1919.4458505812022,1944.923,2038.5897029755813,1851.2562970244187,0.0,25.302769999999875
2016-03-11,2022.19,2022.19,2032.3009499999998,2012.07905,0,1954.5785,,,1959.9169497534597,1923.475032911351,1954.5785,2037.1170504253364,1872.0399495746638,0.0,27.627814999999874
2016-03-14,2019.64,2019.64,2029.7381999999998,2009.5418000000002,0,1962.3215,,,1965.6048593007492,1927.246208091298,1962.3215,2038.17462074904,1886.46837925096,0.0,27.09933999999985
2016-03-15,2015.93,2015.93,2026.0096499999997,2005.8503500000002,0,1968.339,,,1970.397729843535,1930.7240038524237,1968.339,2040.9233146460142,1895.7546853539857,0.0,23.514094999999838
2016-03-16,2027.22,2027.22,2037.3560999999997,2017.0839,0,1973.359,,,1975.8093746203413,1934.5081605640935,1973.359,2047.7186237073236,1898.9993762926763,0.0,23.670254999999816
2016-03-17,2040.59,2040.59,2050.7929499999996,2030.3870499999998,0,1979.4969999999998,,,1981.9789579898325,1938.668232698835,1979.4969999999998,2054.817321462824,1904.1766785371756,0.0,24.034149999999773
